,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana,0.8582584468076757,0.857130243691873,0.8530392810893537,0.7626260644351136,0.7551897343326924,0.7644311894203979,0.7463210767962956,0.7454773770749127,0.7493426990542714,0.7476651100733822,0.7461248675587646,0.6573794294235372,0.670800141270651,0.6702311344818114
4mC_C.elegans,0.9119124063554788,0.9095661480200873,0.9090310364699102,0.7991273565489422,0.8056721824318762,0.807565654070964,0.7990450316950687,0.800485716637853,0.8018852391537005,0.8005680414917263,0.7948464641475261,0.737630690705524,0.7520375401333662,0.7557421585576686
4mC_D.melanogaster,0.9070178571428571,0.9081785714285714,0.9050357142857143,0.8147678571428572,0.7834107142857143,0.7929107142857142,0.7761071428571429,0.7753928571428571,0.7729821428571428,0.7801785714285714,0.7755357142857143,0.6734107142857143,0.6388035714285715,0.6879642857142857
4mC_E.coli,0.9625,0.93125,0.95,0.8625,0.890625,0.853125,0.821875,0.853125,0.91875,0.890625,0.84375,0.65625,0.615625,0.7375
4mC_G.subterraneus,0.7759503391782926,0.7782541917317292,0.7760783309868169,0.666005375655958,0.8209394598745681,0.8240752591834123,0.8138999104057341,0.8187635991296557,0.819403558172277,0.8064763855113273,0.8142838858313068,0.6233201075131192,0.6770126711890438,0.6765007039549469
4mC_G.pickeringii,0.8686396677050883,0.8712357217030114,0.8727933541017653,0.7819314641744548,0.8494288681204569,0.862668743509865,0.8348909657320872,0.8348909657320872,0.8553997923156802,0.8398234683281413,0.8359293873312564,0.7131360332294912,0.7583073727933541,0.7144340602284528
4mC_A.thaliana2,0.8173255505439109,0.8203767577606792,0.816750685416114,0.755416998319625,0.639913328026886,0.6310692491377023,0.6170513840983461,0.6227115945874238,0.624745732731936,0.6241266472096931,0.6238613248430176,0.5960024763420889,0.5635447068187848,0.5657999469355267
4mC_C.elegans2,0.8794525684289464,0.8850768653918261,0.8807649043869517,0.7489688788901387,0.6151106111736033,0.6284214473190851,0.5598050243719535,0.5654293213348331,0.6070491188601425,0.5708661417322834,0.5688038995125609,0.6436070491188601,0.5028121484814398,0.5371203599550056
4mC_C.equisetifolia,0.7704918032786885,0.6939890710382514,0.7896174863387978,0.6912568306010929,0.7568306010928961,0.7513661202185792,0.7786885245901639,0.773224043715847,0.7049180327868853,0.773224043715847,0.7431693989071039,0.6338797814207651,0.7568306010928961,0.7486338797814208
4mC_D.melanogaster2,0.9049945711183496,0.9062160694896851,0.9063517915309446,0.8055103148751357,0.7011400651465798,0.7064332247557004,0.6839033659066233,0.6845819761129207,0.6851248642779587,0.6871606948968513,0.6817318132464713,0.628257328990228,0.5807546145494028,0.6300217155266015
4mC_E.coli2,0.8928571428571429,0.876984126984127,0.8611111111111112,0.746031746031746,0.5952380952380952,0.5952380952380952,0.6388888888888888,0.5992063492063492,0.5436507936507936,0.6309523809523809,0.6468253968253969,0.5912698412698413,0.5079365079365079,0.5912698412698413
4mC_F.vesca,0.8154596100278552,0.8128007090402634,0.8033679412509496,0.6991643454038997,0.685933147632312,0.6854266903013421,0.6768169156748544,0.6746011648518613,0.6817548746518106,0.6752342365155736,0.6784629020005064,0.6150291212965308,0.6402886806786529,0.6182577867814637
4mC_G.pickeringii2,0.8128099173553719,0.8132231404958677,0.8078512396694215,0.7326446280991735,0.5752066115702479,0.6008264462809917,0.5818181818181818,0.5892561983471074,0.5710743801652892,0.5809917355371901,0.5904958677685951,0.5636363636363636,0.5190082644628099,0.5727272727272728
4mC_G.subterraneus2,0.7380771423142695,0.7251567547026411,0.7319019570587117,0.6340490214706441,0.5498764962948889,0.5503515105453164,0.521945658369751,0.5230856925707771,0.5740072202166066,0.5313509405282159,0.5294508835265058,0.5341060231806954,0.49828994869846094,0.556526695800874
4mC_S.cerevisiae,0.7032355915065723,0.6744186046511628,0.6880687563195147,0.5717896865520729,0.5970677451971689,0.5682507583417593,0.5763397371081901,0.5864509605662285,0.5631951466127402,0.5626895854398383,0.5707785642062689,0.5985844287158746,0.538422649140546,0.519211324570273
4mC_Tolypocladium,0.7132324155030667,0.7030536343468615,0.7040976119013441,0.6176432206707556,0.5483492104919744,0.5666188176954196,0.5597677149941276,0.5563095393449041,0.5429335769280961,0.5563095393449041,0.5600939579799035,0.5523946235155944,0.5260994388620645,0.5184001043977554
