,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana,0.8605442844249107,0.859955656712318,0.8626437232664914,0.7949809677039595,0.755003335557038,0.7678844720009418,0.7489993328885924,0.7513636542008397,0.7519130400659263,0.7501275360043951,0.7500098104618765,0.6627163206843778,0.6711827492838363,0.6749892084919358
4mC_C.elegans,0.922573474932082,0.9219148761010949,0.9166049230262616,0.8276117559891332,0.8177739359512637,0.8174034741088334,0.8025026755577509,0.8099530748332922,0.8050547460278258,0.8088416893060015,0.8067835679591668,0.739647649625422,0.7508438297522022,0.7556598337037952
4mC_D.melanogaster,0.9124285714285715,0.9133571428571429,0.91525,0.8606964285714286,0.7892321428571428,0.7960178571428571,0.7818214285714286,0.7818928571428572,0.77925,0.7808571428571428,0.7803035714285714,0.6888571428571428,0.6384642857142857,0.69175
4mC_E.coli,0.95625,0.95625,0.940625,0.803125,0.934375,0.846875,0.865625,0.871875,0.865625,0.86875,0.840625,0.6625,0.65625,0.753125
4mC_G.subterraneus,0.8007167541277358,0.7953410981697171,0.797772942531678,0.666453346985793,0.8215794189171893,0.8252911813643927,0.8179956482785101,0.8165237424804812,0.809356201203123,0.8245872264175093,0.8180596441827723,0.6261999232049149,0.6792525278382183,0.6589018302828619
4mC_G.pickeringii,0.8811007268951194,0.8901869158878505,0.8785046728971962,0.7946521287642783,0.8603322949117341,0.8650051921079959,0.829698857736241,0.8356697819314641,0.8499480789200415,0.8393042575285566,0.8369678089304258,0.711318795430945,0.7627206645898235,0.7219626168224299
4mC_A.thaliana2,0.8259927478553108,0.8239586097107986,0.8258158662775272,0.7898204651985495,0.6368179004156717,0.6429645352436544,0.6265145485097727,0.6201025913151146,0.6396922260546564,0.6224020518263023,0.6220482886707349,0.6067038117980013,0.5654461837799594,0.565578844963297
4mC_C.elegans2,0.8942632170978627,0.8942632170978627,0.8933258342707162,0.8228346456692913,0.6257967754030747,0.6550431196100488,0.5674915635545557,0.5718035245594301,0.5980502437195351,0.5697412823397076,0.5650543682039745,0.6612298462692163,0.5063742032245969,0.5258717660292463
4mC_C.equisetifolia,0.8032786885245902,0.7950819672131147,0.7814207650273224,0.6584699453551912,0.7595628415300546,0.773224043715847,0.7650273224043715,0.7595628415300546,0.7431693989071039,0.76775956284153,0.76775956284153,0.6639344262295082,0.7486338797814208,0.7704918032786885
4mC_D.melanogaster2,0.9150380021715526,0.9162595005428882,0.9166666666666666,0.8610206297502715,0.7042616720955484,0.7133550488599348,0.6898751357220413,0.6885179153094463,0.7049402823018458,0.6866178067318133,0.6894679695982627,0.6492942453854506,0.5810260586319218,0.6294788273615635
4mC_E.coli2,0.9246031746031746,0.8690476190476191,0.8888888888888888,0.7420634920634921,0.5873015873015873,0.6111111111111112,0.6071428571428571,0.6309523809523809,0.5873015873015873,0.6031746031746031,0.6309523809523809,0.5674603174603174,0.5198412698412699,0.6309523809523809
4mC_F.vesca,0.8245125348189415,0.8145733096986579,0.8138769308685744,0.7094201063560395,0.6815016459863257,0.6877690554570778,0.677260065839453,0.6837173968093189,0.66991643454039,0.6874525196252216,0.684033932641175,0.6318055203849076,0.6422512028361611,0.6250316535831856
4mC_G.pickeringii2,0.8140495867768595,0.821900826446281,0.8107438016528926,0.7524793388429752,0.5818181818181818,0.5863636363636363,0.5818181818181818,0.5760330578512397,0.5752066115702479,0.5925619834710744,0.5950413223140496,0.5694214876033058,0.5338842975206611,0.5640495867768595
4mC_G.subterraneus2,0.7506175185255558,0.7520425612768383,0.739312179365381,0.6463993919817594,0.5510165304959149,0.5437963138894166,0.5265057951738552,0.5295458863765913,0.5581417442523275,0.51985559566787,0.5241307239217177,0.5541516245487365,0.499619988599658,0.5519665589967699
4mC_S.cerevisiae,0.7072800808897877,0.6632962588473206,0.6825075834175935,0.5712841253791708,0.5935288169868554,0.5889787664307381,0.5798786653185035,0.5813953488372093,0.5647118301314459,0.5874620829120324,0.5672396359959555,0.5920121334681496,0.544994944388271,0.5278058645096056
4mC_Tolypocladium,0.7147983818347905,0.7126451781286702,0.7146678846404803,0.6192091870024794,0.5496541824350777,0.5656400887380921,0.5649223541693854,0.5597677149941276,0.5512853973639567,0.5602244551742137,0.5600939579799035,0.5476967245204228,0.5282526425681848,0.5226412632128409
