,ENAC,binary,NCP,EIIP,Kmer4,CKSNAP,PseEIIP,TNC,RCKmer5,SCPseTNC,PCPseTNC,ANF,NAC,TAC
4mC_A.thaliana,0.8638013577679237,0.8655181885963191,0.8657536396813562,0.8091767060393203,0.7547678844720009,0.7712985127339795,0.7498430326099753,0.7511183926539261,0.7497547384530864,0.7537868382843464,0.7522073539222227,0.6708393831181572,0.6685535455009222,0.6743613389318369
4mC_C.elegans,0.9220795258088417,0.9207623281468675,0.9208034905738043,0.8625586564583848,0.8111879476413929,0.8169095249855931,0.8043138223429653,0.8064542685436733,0.8082654153288877,0.8041491726352186,0.8064542685436733,0.7524491644027332,0.7520375401333662,0.755412859142175
4mC_D.melanogaster,0.9147857142857143,0.9134464285714285,0.9154642857142857,0.8673392857142858,0.7877857142857143,0.7975178571428572,0.7805892857142858,0.7823392857142857,0.7764285714285715,0.7837142857142857,0.7822142857142858,0.6976785714285715,0.6239642857142857,0.6918928571428572
4mC_E.coli,0.953125,0.94375,0.93125,0.80625,0.909375,0.828125,0.828125,0.859375,0.925,0.853125,0.828125,0.59375,0.60625,0.728125
4mC_G.subterraneus,0.7858057084346601,0.7831178804556508,0.7676308716242161,0.6788045565083834,0.8209394598745681,0.8210034557788302,0.8227313451939076,0.8122360168949188,0.8112760783309868,0.8172916933316268,0.8167157301932676,0.6172404966082171,0.6778446179444515,0.6816843722001792
4mC_G.pickeringii,0.8655244029075805,0.8670820353063343,0.8738317757009346,0.7928348909657321,0.856957424714434,0.8613707165109035,0.8369678089304258,0.8416407061266874,0.8522845275181724,0.8452751817237798,0.8416407061266874,0.7235202492211839,0.759865005192108,0.7331256490134995
4mC_A.thaliana2,0.8343504024055894,0.832979570177766,0.8338639780666843,0.7991951888210843,0.6406208543380207,0.6525161404439728,0.6228442557707615,0.6242593083930309,0.632351640576634,0.6282391438931635,0.6254532590430707,0.6155921110816308,0.5638984699743522,0.5676572035022552
4mC_C.elegans2,0.8982002249718786,0.8982002249718786,0.8993250843644545,0.8421447319085115,0.6207349081364829,0.6582302212223472,0.5744281964754405,0.5738657667791526,0.5943007124109486,0.5727409073865767,0.5714285714285714,0.6876640419947506,0.5028121484814398,0.5108736407949006
4mC_C.equisetifolia,0.7950819672131147,0.7896174863387978,0.7814207650273224,0.674863387978142,0.7513661202185792,0.7404371584699454,0.7431693989071039,0.7404371584699454,0.7540983606557377,0.773224043715847,0.7786885245901639,0.6857923497267759,0.7513661202185792,0.7650273224043715
4mC_D.melanogaster2,0.9185667752442996,0.9191096634093376,0.9180238870792616,0.868485342019544,0.7001900108577633,0.7174267100977199,0.6913680781758957,0.6913680781758957,0.6970684039087948,0.6915038002171553,0.6934039087947883,0.6566232356134636,0.5831976112920738,0.630700325732899
4mC_E.coli2,0.8809523809523809,0.8849206349206349,0.9166666666666666,0.7619047619047619,0.5873015873015873,0.5753968253968254,0.5873015873015873,0.5952380952380952,0.5912698412698413,0.5793650793650794,0.5912698412698413,0.6111111111111112,0.5119047619047619,0.6031746031746031
4mC_F.vesca,0.8221068624968346,0.8229298556596607,0.8241326918207141,0.7313876930868575,0.6827044821473791,0.6940364649278298,0.6790959736642188,0.6790959736642188,0.6768802228412256,0.6785262091668777,0.6863762977969106,0.6281970119017473,0.6417447455051912,0.6226259812610787
4mC_G.pickeringii2,0.7946280991735537,0.8161157024793388,0.8338842975206612,0.7566115702479339,0.5814049586776859,0.5884297520661157,0.587603305785124,0.5789256198347107,0.6,0.5880165289256198,0.6,0.6004132231404958,0.5024793388429752,0.5574380165289257
4mC_G.subterraneus2,0.7564126923807715,0.7560326809804294,0.7548926467794034,0.6785103553106593,0.5713471404142124,0.5545316359490785,0.5323009690290709,0.5300209006270188,0.5691620748622459,0.5373361200836025,0.5292608778263348,0.5722971689150674,0.5000950028500855,0.552916587497625
4mC_S.cerevisiae,0.6946410515672397,0.6835187057633973,0.6769464105156724,0.5884732052578362,0.5904954499494439,0.5879676440849343,0.5793731041456016,0.5783619817997978,0.5798786653185035,0.5758341759352882,0.576845298281092,0.5763397371081901,0.5136501516683518,0.5358948432760364
4mC_Tolypocladium,0.718648049066945,0.7089912566879812,0.7126451781286702,0.618621949628083,0.5533733524729219,0.5630301448518857,0.5540910870416286,0.558332245856714,0.5384966723215451,0.5506329113924051,0.5618556701030928,0.5797990343207621,0.5317760668145635,0.5360824742268041
